State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11
1	0.6875116719239596	0.06414080508883918	0.020456628177060093	0.0025899755821677177	0.0	0.004200270392020358	0.045873711176614755	1.5544295970471505E-5	0.16173152288433557	0.01219758321926025	0.0012822872597721034
2	0.12981604825816245	0.7817996612358628	0.0029241173153104517	0.032656935244320846	0.0	0.0029076028328415904	0.028868209863242813	0.012594560589686034	0.007535983774174654	0.0	8.968808863983594E-4
3	0.08750735497537554	0.005987570957282061	0.7655424498938475	0.08312669267412591	0.0	9.937114647684923E-4	0.002331997341321614	0.004273048282310914	0.019993860469667495	0.029939553253197793	3.0376068810258487E-4
4	0.013255736839424529	0.0865846129403177	0.10545591807366078	0.6659782785822234	0.07117157231044634	0.0029891302819376694	0.002467785470609433	0.05011313727294352	1.6424502760146458E-4	1.1610053999784378E-5	0.001807973146835022
5	0.0	0.0	4.542327896142078E-5	0.0148814393048172	0.7354727735754117	0.0015591155946001274	0.0	0.24804124824620957	0.0	0.0	0.0
6	0.018013814269343988	0.006422419399766075	0.001179275920028036	0.0026063607650605477	0.005910970750211605	0.188406841048169	0.5166854831908175	0.2383148664972258	0.00894439576632655	0.004197250546174615	0.009318321846876252
7	0.012598597882490757	0.004033226320559732	1.3496755279182726E-4	9.17030046491139E-5	0.0	0.030560826935122	0.950459150948769	3.90107953158141E-4	9.700506091352783E-4	0.0	7.613687933241633E-4
8	2.6520896048331556E-4	0.008705646727486369	0.0012839351008495413	0.013191779415632796	0.3124322529949297	0.07448286477025613	0.0019508888768786773	0.5876874231534834	0.0	0.0	0.0
9	0.008298952075291834	1.7140658184006891E-4	2.5528591604710195E-4	5.6164688628458245E-6	0.0	1.0080816800896534E-4	1.687154829574604E-4	0.0	0.9817695379272844	0.006406842334439441	0.0028228350452677367
10	0.0026384754326328488	0.0	0.001475832293481535	0.0	0.0	1.8384181738825752E-4	0.0	0.0	0.02558058208800532	0.9692069187528117	9.143496156803979E-4
11	0.002388858143729894	0.0011015370213244829	2.768868697280106E-4	7.755044085696655E-4	0.0	0.005005803505818554	0.007497618997895776	0.0	0.1394028408671918	0.01098399949118747	0.8325669506945543
